Shane Duffy
Cyrus Christie
Stephen Ward
Glenn Whelan
Aiden McGeady
James McCarthy
James McClean
Jeff Hendrick
David Meyler
Robbie Brady
Wes Hoolahan
Stephen Quinn
Shane Long
Robbie Keane
Jon Walters
Daryl Murphy
Petr Čech
Tomáš Vaclík
Tomáš Koubek
Pavel Kadeřábek
Michal Kadlec
Theodor Gebre Selassie
Roman Hubník
Tomáš Sivok
David Limberský
Marek Suchý
Bořek Dočkal
Tomáš Rosický
Daniel Pudil
Jaroslav Plašil
Daniel Kolář
David Pavelka
Josef Šural
Ladislav Krejčí
Jiří Skalák
Vladimír Darida
Tomáš Necid
Milan Škoda
David Lafata
Costel Pantilimon
Ciprian Tătăruşanu
Silviu Lung
Alexandru Măţel
Răzvan Raţ
Cosmin Moţi
Vlad Chiricheş
Valerică Găman
Steliano Filip
Dragoş Grigore
Cristian Săpunaru
Ovidiu Hoban
Alexandru Chipciu
Mihai Pintilii
Nicolae Stanciu
Gabriel Torje
Lucian Sânmărtean
Andrei Prepeliţă
Adrian Popa
Denis Alibec
Claudiu Keșerü
Florin Andone
Bogdan Stancu
Igor Akinfeev
Yuri Lodygin
Guilherme
Roman Shishkin
Igor Smolnikov
Sergei Ignashevich
Roman Neustädter
Aleksei Berezutski
Vasili Berezutski
Georgi Schennikov
Dmitri Kombarov
Artur Yusupov
Denis Glushakov
Pavel Mamaev
Aleksandr Golovin
Roman Shirokov
Oleg Shatov
Oleg Ivanov
Aleksandr Samedov
Dmitri Torbinski
Aleksandr Kokorin
Fedor Smolov
Artem Dzyuba
Ján Mucha
Ján Novota
Matúš Kozáčik
Peter Pekarík
Martin Škrtel
Ján Ďurica
Norbert Gyömber
Milan Škriniar
Tomáš Hubočan
Kornel Saláta
Dušan Švento
Ján Greguš
Vladimír Weiss
Ondrej Duda
Miroslav Stoch
Patrik Hrošovský
Marek Hamšík
Juraj Kucka
Róbert Mak
Viktor Pečovský
Stanislav Šesták
Adam Nemec
Michal Ďuriš
Andreas Isaksson
Robin Olsen
Patrik Carlgren
Mikael Lustig
Erik Johansson
Andreas Granqvist
Martin Olsson
Pontus Jansson
Victor Lindelöf
Ludwig Augustinsson
Emil Forsberg
Sebastian Larsson
Albin Ekdal
Kim Källström
Oscar Hiljemark
Pontus Wernbloom
Oscar Lewicki
Jimmy Durmaz
Erkan Zengin
Zlatan Ibrahimović
Marcus Berg
Emir Kujovic
John Guidetti
Yann Sommer
Marwin Hitz
Roman Bürki
Stephan Lichtsteiner
François Moubandje
Nico Elvedi
Steve von Bergen
Michael Lang
Ricardo Rodríguez
Johan Djourou
Fabian Schär
Fabian Frei
Granit Xhaka
Valon Behrami
Denis Zakaria
Blerim Džemaili
Gelson Fernandes
Xherdan Shaqiri
Breel Embolo
Haris Seferović
Shani Tarashaj
Admir Mehmedi
Eren Derdiyok
Volkan Babacan
Onur Kıvrak
Harun Tekin
Semih Kaya
Hakan Balta
Ahmet Çalık
Gökhan Gönül
İsmail Köybaşı
Caner Erkin
Şener Özbayraklı
Nuri Şahin
Hakan Çalhanoğlu
Selçuk İnan
Arda Turan
Olcay Şahan
Oğuzhan Özyakup
Mehmet Topal
Ozan Tufan
Yunus Mallı
Volkan Şen
Cenk Tosun
Burak Yılmaz
Emre Mor
Denys Boyko
Andriy Pyatov
Mykyta Shevchenko
Bohdan Butko
Yevhen Khacheridi
Olexandr Kucher
Vyacheslav Shevchuk
Artem Fedetskiy
Yaroslav Rakitskiy
Anatoliy Tymoshchuk
Taras Stepanenko
Andriy Yarmolenko
Viktor Kovalenko
Yevhen Konoplyanka
Ruslan Rotan
Serhiy Sydorchuk
Serhiy Rybalka
Denys Garmash
Olexandr Zinchenko
Olexandr Karavaev
Roman Zozulya
Yevhen Seleznyov
Pylyp Budkivskiy
